Time,camera_id,best_confidence,best_region,best_region_confidence,country,is_parked,frame_start,frame_end,epoch_start,epoch_end,best_uuid,travel_direction,vehicle-make-name,vehicle-make-confidence,vehicle-make_model-name,vehicle-make_model-confidence,vehicle-body_type-name,vehicle-body_type-confidence,vehicle-color-name,vehicle-color-confidence
2022-09-02 01:46:29,221388142,93.79541779,us-in,88.46154022,us,FALSE,188645,188700,1662108384076,1662108385912,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662108385782,131.7304993,chevrolet,0,ford_f-150,0,tractor-trailer,82.77163696,white,0
2022-09-02 01:46:39,221388142,93.97796631,us-ca,99,us,FALSE,188971,188997,1662108394955,1662108395803,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662108395803,133.5039978,toyota,0,nissan_versa,0,tractor-trailer,41.49521637,black,0
2022-09-02 01:47:09,221388142,93.96182251,us-ca,98.4375,us,FALSE,189843,189905,1662108424012,1662108426068,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662108425589,127.1510315,mitsubishi,0,mitsubishi_i-miev,0,sedan-compact,59.89330292,black,0
2022-09-02 03:28:00,221388142,93.2959137,us-ny,62,us,FALSE,371373,371420,1662114475259,1662114476836,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662114476317,132.9391479,mercedes-benz,42.97381973,mercedes-benz_lkw,13.97220612,tractor-trailer,97.33168793,black,52.60908508
2022-09-02 03:28:15,221388142,93.86698151,us-ok,91.36363983,us,FALSE,371753,371883,1662114487959,1662114492277,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662114491712,135.5196533,chevrolet,44.33043289,ford_f-350,14.19561958,tractor-trailer,98.5497818,yellow,99.31215668
2022-09-02 03:28:30,221388142,92.65390015,us-fl,99,us,FALSE,372284,372321,1662114505645,1662114506893,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662114506354,136.6842041,isuzu,19.59996605,iveco_daily,9.576759338,tractor-trailer,99.72327423,white,93.69976044
2022-09-02 03:28:31,221388142,94.73375702,us-la,57,us,FALSE,372345,372351,1662114507661,1662114507871,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662114507871,127.3525085,nissan,47.72636795,mercedes-benz_sprinter,23.80410957,tractor-trailer,81.84319305,white,99.72283173
2022-09-02 03:28:40,221388142,93.76813507,us-nc,88.25,us,FALSE,372590,372634,1662114515862,1662114517309,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662114517119,132.6851807,volvo,33.81399155,cadillac_cts,7.168015957,tractor-trailer,99.05805206,green,56.3455925
2022-09-02 03:28:42,221388142,94.40914917,us-ca,97.5,us,FALSE,372666,372677,1662114518387,1662114518756,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662114518616,123.9451904,nissan,0,ford_f-350,0,tractor-trailer,99.24089813,white,0
2022-09-02 03:28:58,221388142,93.88288879,us-az,97.5,us,FALSE,373099,373148,1662114532813,1662114534460,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662114534370,129.9609985,kenworth,69.80704498,ford_f-350,27.00896645,tractor-trailer,98.19432068,white,99.85775757
2022-09-02 03:28:59,221388142,88.00257874,us-ri,86,us,FALSE,373148,373181,1662114534460,1662114535542,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662114535542,94.70785522,chevrolet,26.90984344,ford_ranger,3.731679201,sedan-standard,52.05413818,white,91.5322876
2022-09-02 03:41:21,221388142,94.00048065,us-tx,99,us,FALSE,395362,395437,1662115274924,1662115277430,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662115276781,133.135498,lincoln,70.07240295,peugeot_207,12.09563065,tractor-trailer,95.38719177,white,98.20825958
2022-09-02 03:42:27,221388142,93.89775848,us-in,97.16000366,us,FALSE,397156,397418,1662115334720,1662115343443,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662115343274,134.9101868,isuzu,87.12265015,isuzu_elf-truck,12.00564384,tractor-trailer,99.93211365,white,78.97392273
2022-09-02 03:48:10,221388142,92.37083435,us-in,98.33333588,us,FALSE,407691,407712,1662115685910,1662115686599,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662115685910,131.8559875,kenworth,21.98722267,peugeot_207,20.06639481,tractor-trailer,99.99976349,white,81.69483185
2022-09-02 03:48:19,221388142,93.64756775,us-in,99,us,FALSE,407968,407997,1662115695126,1662115696106,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662115696106,138.0195007,kenworth,76.25279999,peugeot_207,77.29707336,tractor-trailer,99.98922729,yellow,97.31871796
2022-09-02 03:48:32,221388142,93.59188843,us-ms,64.5,us,FALSE,408335,408375,1662115707359,1662115708707,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662115708387,136.6508179,isuzu,78.84073639,dodge_ram-2500,27.14083862,tractor-trailer,99.98967743,white,99.99897766
2022-09-02 03:48:47,221388142,93.65180969,us-in,98.57142639,us,FALSE,408775,408836,1662115722046,1662115724053,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662115723663,134.8920898,kenworth,40.11191177,peugeot_207,22.48743248,tractor-trailer,99.94367981,white,91.84578705
2022-09-02 03:48:49,221388142,94.81787872,us-ct,52,us,FALSE,408864,408870,1662115725001,1662115725181,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662115725091,129.2659302,chevrolet,33.15540314,ford_transit,5.020559788,tractor-trailer,95.77815247,white,99.927742
2022-09-02 05:15:15,221388142,93.34042358,us-al,56.82857132,us,FALSE,564039,564443,1662120897892,1662120911335,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662120908870,129.3272095,mazda,20.65426826,peugeot_207,10.13832092,tractor-trailer,87.15650177,green,41.14337158
2022-09-02 05:16:19,221388142,93.69760895,us-in,57.87830734,us,FALSE,564527,566386,1662120914130,1662120976102,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662120946818,91.20361328,lincoln,55.07321167,peugeot_207,16.14242554,tractor-trailer,94.39064026,silver-gray,49.65585327
2022-09-02 05:16:27,221388142,94.33218384,us-nv,85,us,FALSE,566606,566612,1662120983448,1662120983628,OQDB6X3643YQMMZCISXGRVTBMH0MD1I1B6X5BWL8-221388142-1662120983448,137.5241699,nissan,32.63347244,isuzu_elf-truck,22.92955208,tractor-trailer,94.88636017,white,99.99563599
