,HW_CO2,peak_height_x,t1_indexed,Tf_x,Area_CO2,CO2 (ug/m3),CO2 EF,Conc. CO2 ,time2_x,HW_NO2,peak_height_y,Tf_y,Area_NO2,NO2 ng/m3,NO2 (ng/m3),NO2 (ug/m3),Approx_6,time2_y,NOx/CO2 EF/kg fuel,time,minutes,seconds,NO2/CO2 EF/kg fuel
377,110.57909264870976,370.0266928635509,54461.852202514296,54572.431295163005,40917.21595265427,73634.25365712834,232190.8920570228,370.0518774,15:09:31,65.1193223193186,1.0310141400550992,54483.64273881069,67.1389421020231,126.31457409787576,126.31457409787576,0.12631457409787578,1.0314697821807053,07:24:15.600133,1838195582.0640936,2022-11-28 15:09:31,909.5166666666667,940,0.00540927254260657
378,55.27005551941693,371.67020198132695,54614.02896638623,54669.299021905645,20542.232698420845,36967.617125992525,116569.98708339225,371.6640562,15:12:03,54.38107977969048,1.0219972769486103,54610.143183347696,55.57731545236881,104.56263847889427,104.56263847889427,0.10456263847889427,1.022249655723784,07:25:21.262289,1114834024.6494603,2022-11-28 15:12:03,912.05,915,0.00891908631253562
379,170.1335520603243,367.2387092016505,54801.55210430336,54971.68565636368,62479.6260505253,112437.77285166108,354550.0291331429,367.3448606,15:15:11,98.37663985569816,1.0109386517876515,55004.861438027285,99.45274766311884,187.10946390607228,187.10946390607228,0.18710946390607228,1.0105730303165346,07:28:08.306689,1894880257.4258068,2022-11-28 15:15:11,915.1833333333333,926,0.005247456060103749
380,45.757699958456215,370.1969030022384,54996.69308683816,55042.45078679662,16939.358813126142,30483.917700513302,96124.9376850286,370.2633264,15:18:26,14.806317646696698,1.0179241781521973,54935.62951541008,15.071708721974112,28.35577101066704,28.35577101066704,0.028355771010667042,1.0179538929523837,07:28:15.832379,3389960288.8197875,2022-11-28 15:18:26,918.4333333333333,944,0.002933161465871258
381,46.72343170479871,355.421203489776,55142.27320106335,55188.99663276815,16606.498327691916,29884.904965989543,94236.07082925484,355.3717864,15:20:51,394.7323000914621,1.0259845384982198,55573.18320119661,404.98923673967954,761.9429402873317,761.9429402873317,0.7619429402873317,1.0258251389172792,07:30:21.634560,123678645.5344255,2022-11-28 15:20:51,920.85,971,0.08039626280700429
382,67.81423519812961,362.04320458018935,55255.74146465813,55323.55569985626,24551.683027285515,44182.98786096371,139322.21562197688,362.1188573,15:22:45,42.49249063195021,1.0392716141001888,55261.773713872375,44.16123932620405,83.08454024561907,83.08454024561907,0.08308454024561907,1.0392260170894363,07:30:40.893861,1676872920.1618607,2022-11-28 15:22:45,922.75,967,0.00592966871278488
383,105.51881676208724,364.8745363177435,55425.85365605432,55531.37247281641,38501.12933886352,69286.28592678916,218480.44541294427,364.903597,15:25:35,11.267465961311244,1.0573813799014526,55510.34453674805,11.91400870616393,22.414903905257294,22.414903905257294,0.022414903905257293,1.0573797903097462,07:32:58.522088,9747106047.673079,2022-11-28 15:25:35,925.5833333333334,960,0.0010201285223908852
384,117.71159808281664,364.94522064662567,55712.15857088701,55829.87016896983,42958.28513500044,77307.34339222983,243773.24591871837,364.9367839,15:30:21,14.038635633987724,0.996571393886668,55693.82086526584,13.990502682030193,26.321600137970915,26.321600137970915,0.026321600137970916,0.996584526670881,07:34:24.908117,9261338392.837934,2022-11-28 15:30:21,930.35,951,0.0010736354151241734
385,56.6544717913639,363.8584589705333,55905.68973076863,55962.34420256,20614.20879979522,37097.14467038812,116978.42628913488,363.9604897,15:33:35,57.213281386684685,1.0283569499894776,55957.61619017244,58.83567554570081,110.69288650724897,110.69288650724897,0.11069288650724897,1.028152683913568,07:36:12.840844,1056783592.6970273,2022-11-28 15:33:35,933.5833333333334,968,0.009409022773171193
386,0.988711430974945,361.2502185140223,55992.51128856901,55993.49999999999,357.1722204870106,642.7639141688534,2026.8274505486452,361.2512237,15:35:02,24.52838996436913,1.0532322194621229,56090.547506546674,25.83409060200496,48.604015038536936,48.604015038536936,0.04860401503853694,1.0532292970838424,07:37:33.780454,41700823.459576815,2022-11-28 15:35:02,935.0333333333333,937,0.23844375398578538
387,64.12926209877332,364.3382684459372,56021.13839063467,56085.26765273344,23364.74430978274,42046.983624966895,132586.75346460813,364.312534,15:35:30,24.52838996436913,1.0532322194621229,56090.547506546674,25.83409060200496,48.604015038536936,48.604015038536936,0.04860401503853694,1.0532292970838424,07:37:33.780454,2727897136.882278,2022-11-28 15:35:30,935.5,965,0.0036450424598356477
388,82.67481831117766,366.4902409616751,56197.937579246805,56280.61239755798,30299.51408432621,54526.732912488886,171939.14689295122,366.5036622,15:38:27,86.24900911141594,1.0545941414270636,56220.82900687511,90.95769971278868,171.12696060483762,171.12696060483762,0.17112696060483762,1.0546281384110936,07:38:06.961367,1004746103.6253023,2022-11-28 15:38:27,938.45,965,0.009896331873418374
389,58.7416202771783,365.0461455401938,56348.2478847242,56406.98950500138,21443.40206496963,38589.3534093523,121683.8081057106,364.9711894,15:40:57,123.59905954316493,1.0683332271133472,56464.80609309868,132.04498214992415,248.42818727593095,248.42818727593095,0.24842818727593094,1.068218776534851,07:39:47.155693,489814821.0957862,2022-11-28 15:40:57,940.95,997,0.020300122539688378
390,128.7193324514301,374.754953737604,56509.87540793918,56638.59474039061,48238.20747797096,86809.04413213588,273734.9588618641,374.7991649,15:43:39,131.52513602749968,1.046887794059898,56647.90607611444,137.69205951925716,259.0525455168028,259.0525455168028,0.2590525455168028,1.0465653698555946,07:41:10.846122,1056677356.0003831,2022-11-28 15:43:39,943.65,982,0.009409968741675576
391,90.18276875712036,375.58443401177306,56765.87674046424,56856.05950922136,33871.24416125766,60954.38622066818,192207.466069633,375.6051187,15:47:55,46.24387675660546,1.0009586492800475,56790.156086155264,46.288208415764785,87.08619988242046,87.08619988242046,0.08708619988242046,1.0010081896595562,07:43:00.324104,2207094422.872305,2022-11-28 15:47:55,947.9166666666666,1002,0.00450515428200839
392,15.425645524985155,365.9201568599128,56926.42407909539,56941.84972462038,5644.554630167981,10157.889723001685,32030.873663541213,365.9104646,15:50:35,78.41817102878122,1.0148321746895408,56986.36879765402,79.58128304031439,149.72347729466102,149.72347729466102,0.149723477294661,1.0148458149215092,07:44:20.800594,213933540.9670144,2022-11-28 15:50:35,950.5833333333334,985,0.04647845702480622
393,93.53463144875424,369.33680688498407,57013.66585959421,57107.20049104297,34545.7821124467,62168.27864816584,196035.23306126136,369.3745391,15:52:03,71.24227023686399,1.0313293555496157,57175.33798846251,73.4742446512765,138.23375271814805,138.23375271814805,0.13823375271814806,1.031290826388819,07:45:56.551268,1418143030.9641361,2022-11-28 15:52:03,952.05,955,0.007011493673695217
394,62.178800975008926,364.796502409804,57233.811359957246,57295.990160932255,22682.609119718567,40819.41927474916,128715.87479906654,364.8403661,15:55:43,82.29620028755744,1.02275165447915,57304.05584033313,84.16857500144687,158.35396523789595,158.35396523789595,0.15835396523789594,1.0228376583926695,07:46:54.032023,812836449.0633124,2022-11-28 15:55:43,955.7166666666667,998,0.01223284327549331
395,64.77718031769473,364.3833525272066,57366.55989994325,57431.33708026094,23603.72613142099,42477.05316083941,133942.8917320749,364.6033633,15:57:56,101.3399067247301,1.0168884457315133,57478.20790495621,103.05138023988732,193.8798973838371,193.8798973838371,0.1938798973838371,1.0169614246285126,07:48:09.943370,690854975.3711658,2022-11-28 15:57:56,957.9333333333333,1013,0.014392747022858027
396,58.6019641326784,363.4776902537129,57500.67209437469,57559.27405850736,21300.506567276872,38332.19995747167,120872.92612589542,363.6059888,16:00:10,39.80797509672266,1.0270717381731225,57619.01914446896,40.88564617574331,76.92187010569295,76.92187010569295,0.07692187010569294,1.0270132322582333,07:49:48.511825,1571372692.3151038,2022-11-28 16:00:10,960.1666666666666,970,0.006327780124109534
397,83.48127851190657,368.8134419220959,57662.21168699923,57745.69296551114,30789.017664033363,55407.63914999869,174716.9085316909,368.7896844,16:02:51,190.7553542209353,1.0405429948041969,57863.517799703644,198.48914755598742,373.4356150337596,373.4356150337596,0.37343561503375955,1.0407874292120802,07:50:34.671474,467863539.2499883,2022-11-28 16:02:51,962.85,1013,0.021252566305849936
398,0.89911465896148,370.3425342727583,57690.600885341,57691.49999999996,332.98040140158133,599.2285342196146,1889.547336954711,370.3428468,16:03:20,190.7553542209353,1.0405429948041969,57863.517799703644,198.48914755598742,373.4356150337596,373.4356150337596,0.37343561503375955,1.0407874292120802,07:50:34.671474,5059901.2544207685,2022-11-28 16:03:20,963.3333333333334,983,1.9651175764176567
399,115.47867153882544,369.1207131607061,57797.237610284064,57912.71628182289,42625.56959326218,76708.59149707714,241885.20156773337,369.0655119,16:05:06,19.624496403703237,1.0590295334729252,57831.68558501864,20.782921271054935,39.10079257539988,39.10079257539988,0.039100792575399876,1.059023132442643,07:51:41.562793,6186196893.612703,2022-11-28 16:05:06,965.1,971,0.001607336633637791
400,185.34429583473684,366.3460674139537,58056.501527583925,58241.84582341866,67900.15389666427,122192.50598990708,385309.629137974,366.4065353,16:09:26,105.72580098004256,1.0432448919844726,58176.55786507707,110.29790182339634,207.51343492336326,207.51343492336326,0.20751343492336327,1.0435139864236216,07:53:46.924443,1856793654.2531455,2022-11-28 16:09:26,969.4333333333333,995,0.005355092025020667
401,72.80127543612616,373.28598672317526,58320.46471369192,58393.26598912804,27175.695935880016,48905.13788052027,154212.57127864458,372.9852058,16:13:49,410.3345038965199,1.0407444639095005,58715.637347307216,427.05336328135445,803.4541804066382,803.4541804066382,0.8034541804066382,1.0405502888995293,07:55:39.320902,191936982.8912903,2022-11-28 16:13:49,973.8166666666667,1022,0.051805028609998055
402,213.72087297047983,372.0654421682219,58466.218284768365,58679.939157738845,79518.15110233997,143100.1492230249,451237.70054496446,371.9527692,16:16:15,114.99071304255632,1.069357326113746,58566.657782379945,122.96616142710107,231.3473793720511,231.3473793720511,0.2313473793720511,1.069446627933966,07:56:51.473717,1950476818.7552595,2022-11-28 16:16:15,976.25,991,0.00509788211497204
403,35.26555783285585,376.821846819372,58482.75449868973,58518.02005652258,13288.83263169211,23914.463631674964,75409.47816976067,376.8635606,16:16:32,114.99071304255632,1.069357326113746,58566.657782379945,122.96616142710107,231.3473793720511,231.3473793720511,0.2313473793720511,1.069446627933966,07:56:51.473717,325957779.9171337,2022-11-28 16:16:32,976.5333333333333,1008,0.03050487364507093
404,70.52278420066432,375.2856134461726,58713.81342670888,58784.33621090955,26466.18633067836,47628.31077913488,150186.35237984604,375.340417,16:20:23,60.66205130050366,1.0338125735729848,58902.43452312278,62.71319137319012,117.98800830947835,117.98800830947835,0.11798800830947835,1.0339943654446475,08:00:00.470485,1272895055.452691,2022-11-28 16:20:23,980.3833333333333,1003,0.007811563763568691
405,42.588276585389394,376.0017971018193,58832.21508122148,58874.80335780687,16013.268531575744,28817.33396275389,90869.69918475184,375.9844102,16:22:21,60.66205130050366,1.0338125735729848,58902.43452312278,62.71319137319012,117.98800830947835,117.98800830947835,0.11798800830947835,1.0339943654446475,08:00:00.470485,770160463.649864,2022-11-28 16:22:21,982.35,1003,0.012910687264934047
