,BC_HW,BC_p_h,BC (ug/m3),BC_EF,BC_t1,BC_actual_TS,BC_t2
62,12.71015023,1.479818876,18.80872023,194.1059928,7884.998045,2:12:08,7897.708195
63,49.31648228,1.398698136,68.97887182,711.8619572,8037.573523,2:14:39,8086.890006
64,59.72530342,1.424047306,85.05165743,877.7331047,8158.399287,2:16:39,8218.12459
65,100.6932004,1.494468863,150.4828527,1552.98304,8313.635812,2:19:14,8414.329012
66,83.82998048,1.364158629,114.3573913,1180.168278,8522.576238,2:22:42,8606.406218
67,67.20395784,1.238134183,83.20751741,858.7015797,8664.466164,2:25:03,8731.670121
68,6.191947816,1.249048873,7.734045444,79.81534898,8699.668658,2:25:38,8705.860606
69,19.94548074,1.235973051,24.65207668,254.4094313,8750.131707,2:26:28,8770.077188
70,362.7117504,1.629309107,590.9695582,6098.805841,8997.620034,2:30:34,9360.331784
71,13.24156284,1.765656537,23.38005199,241.2821365,9244.383451,2:34:41,9257.625014
72,3.937910931,1.756504108,6.916956729,71.38299344,9276.73993,2:35:13,9280.677841
73,2.19016149,1.444400063,3.163469395,32.64700416,9452.855408,2:38:08,9455.045569
74,41.26855921,1.442527161,59.53101755,614.3601011,9446.227007,2:38:02,9487.495566
75,71.08716089,1.519329703,108.004835,1114.609897,9543.273505,2:39:39,9614.360666
76,71.45108423,1.302533614,93.06743899,960.4559704,9690.968619,2:42:07,9762.419703
77,82.70982009,1.393530534,115.2586597,1189.469368,9890.240217,2:45:26,9972.950037
78,84.40487971,1.613919899,136.222715,1405.818419,10060.06992,2:48:16,10144.4748
79,94.21137929,1.575720554,148.4508068,1532.012326,10207.08969,2:50:41,10301.30107
80,72.97615048,2.683381341,195.8228405,2020.891714,10390.43477,2:53:44,10463.41092
81,40.33503449,1.497775107,60.41281059,623.4602053,10528.65554,2:56:01,10568.99057
82,6.824089773,1.514751006,10.33679685,106.6757435,10555.77708,2:56:28,10562.60117
83,10.75295794,1.684286669,18.11106372,186.9061776,10630.45275,2:57:43,10641.20571
84,179.1913461,1.409771287,252.6188146,2607.026167,10598.36469,2:57:11,10777.55604
85,0.601426414,1.691636813,1.017395063,10.49951705,10661.5,2:58:14,10662.10143
86,95.08645435,1.503025382,142.9173544,1474.907097,10870.14611,3:01:41,10965.23256
87,16.04177927,1.368122549,21.94711994,226.4942778,11083.28739,3:05:12,11099.32916
88,113.4370561,1.33792472,151.7702414,1566.268891,11041.35052,3:04:30,11154.78757
89,79.97167958,1.397386256,111.751326,1153.273684,11223.81685,3:07:31,11303.78853
90,42.06383977,1.300148325,54.68923083,564.3928622,11436.03241,3:11:03,11478.09625
91,47.84956454,1.316436143,62.99089621,650.0660489,11554.93681,3:12:58,11602.78637
92,86.74413087,1.324553452,114.897238,1185.739496,11646.66182,3:14:30,11733.40595
93,131.6815131,1.327495674,174.806639,1804.004514,11813.00887,3:17:15,11944.69038
94,67.95400373,1.28899355,87.59227249,903.9522521,12055.21713,3:21:17,12123.17113
95,98.51758972,1.288500739,126.9399872,1310.020668,12186.02597,3:23:28,12284.54356
96,47.62388678,1.281556776,61.03271478,629.8576165,12390.71835,,12438.34223
97,71.00491452,1.262022952,89.60983185,924.7734647,12480.27432,,12551.27924
98,80.49714902,1.40511705,113.1079166,1167.273699,12626.68358,,12707.18073
99,71.61610051,1.345345888,96.3484263,994.3157594,12763.58885,,12835.20495
100,4.110222056,1.337380355,5.496930231,56.72831998,12846.06264,,12850.17286
101,21.0525594,1.403927821,29.55627386,305.0207462,12987.73755,,13008.79011
102,73.27225203,1.487421076,108.986692,1124.742661,13055.78055,,13129.0528
103,94.00089156,1.706300558,160.3937737,1655.263745,13209.07699,,13303.07788
104,98.896533,1.320970652,130.6394177,1348.198791,13433.04846,,13531.945
105,48.74205017,1.36621267,66.59200649,687.229507,13671.83019,,13720.57224
106,258.0652149,1.314146279,339.1354418,3499.877759,13633.63914,,13891.70435
107,69.18342886,1.277754472,88.39943561,912.2821755,14032.58034,,14101.76377
108,57.7821157,1.274777184,73.65932274,760.1642107,14165.39001,,14223.17213
109,77.10576683,1.319924537,101.7737936,1050.30555,14292.84181,,14369.94758
